,city_name,weather_main,weather_description,weather_temp,weather_temp_feels_like,weather_pressure,weather_humidity,weather_sea_level,weather_grnd_level,weather_wind_speed,weather_wind_gust,time_dim,time_sunrise,time_sunset
0,Kabupaten Bandung,Clouds,overcast clouds,23.22,23.95,1012,90,1012.0,931.0,0.3,0.54,1704322938,1704321523,1704366586
1,Kabupaten Bandung Barat,Clouds,overcast clouds,23.17,23.89,1011,90,1011.0,929.0,0.55,0.75,1704322939,1704321551,1704366572
2,Kabupaten Bekasi,Rain,light rain,28.54,35.51,1009,90,1009.0,1004.0,1.2,2.62,1704323018,1704321672,1704366597
3,Kabupaten Bogor,Clouds,overcast clouds,27.32,31.92,1009,92,1009.0,994.0,1.2,1.4,1704322940,1704321744,1704366696
4,Kabupaten Ciamis,Clouds,overcast clouds,23.77,24.71,1011,96,1011.0,984.0,0.22,0.45,1704323456,1704321297,1704366423
5,Kabupaten Cianjur,Clouds,overcast clouds,25.77,26.78,1011,91,1011.0,960.0,0.85,1.05,1704323018,1704321636,1704366655
6,Kabupaten Cirebon,Clouds,overcast clouds,26.38,26.38,1010,85,1010.0,1003.0,0.69,0.7,1704323019,1704321321,1704366326
7,Kabupaten Garut,Clouds,overcast clouds,23.52,24.33,1012,92,1012.0,927.0,0.55,0.62,1704323531,1704321417,1704366519
8,Kabupaten Indramayu,Clouds,overcast clouds,27.34,30.29,1009,78,1009.0,1009.0,0.96,1.09,1704323458,1704321399,1704366321
9,Kabupaten Karawang,Rain,light rain,26.04,26.04,1009,90,1009.0,1007.0,1.32,2.8,1704323458,1704321655,1704366566
10,Kabupaten Kuningan,Clouds,overcast clouds,22.91,23.68,1010,93,1010.0,955.0,1.12,1.15,1704323458,1704321295,1704366348
11,Kabupaten Majalengka,Clouds,overcast clouds,24.99,25.92,1010,91,1010.0,995.0,0.57,0.65,1704323459,1704321373,1704366397
12,Kabupaten Pangandaran,Clouds,overcast clouds,24.78,25.72,1010,92,1010.0,998.0,0.27,0.47,1704323532,1704321221,1704366413
13,Kabupaten Purwakarta,Clouds,overcast clouds,27.38,31.97,1010,91,1010.0,999.0,0.67,0.7,1704323533,1704321592,1704366554
14,Kabupaten Subang,Clouds,overcast clouds,27.95,33.94,1010,92,1010.0,1000.0,0.72,0.71,1704322944,1704321515,1704366480
15,Kabupaten Sukabumi,Clouds,overcast clouds,25.8,26.81,1010,91,1010.0,1009.0,1.2,1.39,1704323460,1704321762,1704366816
16,Kabupaten Sumedang,Clouds,overcast clouds,25.37,26.34,1011,91,1011.0,957.0,0.6,0.64,1704322945,1704321448,1704366470
17,Kabupaten Tasikmalaya,Clouds,overcast clouds,23.01,23.85,1011,95,1011.0,965.0,0.49,0.67,1704323460,1704321346,1704366475
18,Kota Bandung,Clouds,overcast clouds,23.41,24.16,1010,90,,,0.89,0.89,1704323534,1704321511,1704366551
19,Kota Banjar,Clouds,overcast clouds,24.87,25.95,1010,97,1010.0,1006.0,0.31,0.48,1704323461,1704321245,1704366379
20,Kota Bekasi,Haze,haze,26.91,30.88,1008,94,,,2.57,,1704323461,1704321737,1704366637
21,Kota Bogor,Clouds,overcast clouds,27.02,30.17,986,84,,,1.06,1.53,1704322839,1704321739,1704366713
22,Kota Cimahi,Clouds,overcast clouds,23.1,23.82,1011,90,1011.0,928.0,0.37,0.63,1704323462,1704321533,1704366567
23,Kota Cirebon,Clouds,overcast clouds,26.95,29.91,1009,83,1009.0,1009.0,0.93,0.93,1704323462,1704321306,1704366308
24,Kota Depok,Haze,haze,27.85,32.17,1008,83,,,2.57,,1704323536,1704321763,1704366697
25,Kota Sukabumi,Clouds,overcast clouds,24.98,25.99,1011,94,1011.0,947.0,0.59,1.05,1704323464,1704321675,1704366717
26,Kota Tasikmalaya,Clouds,overcast clouds,23.05,23.92,1011,96,1011.0,970.0,0.46,0.53,1704323464,1704321322,1704366452
